Games Played,Win Rate against Models,Draw Rate against Models,Win Rate against Random Moves,Average Game Length,Average Loss,Average Max Q value
100,0.15384615384615385,0.0641025641025641,0.5,8.81,0.01568161288800469,0.02204657434118467
200,0.2,0.07,0.5333333333333333,9.06,0.027204732916204268,0.5015384263638508
300,0.16,0.06,0.5441176470588235,9.8,0.05972365971057572,1.2237384888240606
400,0.15,0.07,0.5476190476190477,9.77,0.10004324586042847,1.9856714240153892
500,0.17,0.09,0.55,10.51,0.1400972835592693,2.654095310987545
600,0.19,0.11,0.59,10.59,0.15806527701118495,3.0871765234165407
700,0.19,0.11,0.57,11.02,0.1601145352718788,3.224395936732925
800,0.22,0.1,0.6,10.38,0.15201919861701405,3.1155524268104267
900,0.18,0.09,0.6,10.63,0.13630630877049388,2.948794740155135
1000,0.25,0.14,0.56,11.66,0.12252969852715978,2.743421000275637
1100,0.29,0.05,0.56,11.43,0.10467306321461158,2.4956752263712456
1200,0.27,0.08,0.55,11.74,0.09299665528880474,2.243434338420674
1300,0.22,0.11,0.58,11.58,0.08136448088700776,2.045810819872137
1400,0.23,0.07,0.56,11.58,0.07491744078612837,1.8981797372041003
1500,0.39,0.07,0.59,11.98,0.06656541886331746,1.7669210093415737
1600,0.35,0.09,0.61,11.98,0.0629339513381947,1.6505813206647266
1700,0.3,0.09,0.63,12.02,0.05950106355311415,1.568034887149336
1800,0.4,0.05,0.66,11.81,0.0578629755574882,1.5199408716443576
1900,0.48,0.01,0.72,11.63,0.0556993017158741,1.4767918517704428
2000,0.47,0.07,0.71,12.22,0.05342768562341657,1.442225405207453
2100,0.46,0.09,0.72,12.23,0.05194342530795128,1.402142857573551
2200,0.62,0.04,0.71,12.2,0.0489511700165396,1.3571068006468556
2300,0.44,0.03,0.7,11.97,0.04748822337980308,1.3389228639486515
2400,0.4,0.1,0.62,12.52,0.046588189019343765,1.3097571418701286
2500,0.55,0.1,0.64,12.67,0.0447756143573902,1.2780852895860098
2600,0.54,0.09,0.63,12.29,0.0443204160956463,1.2555252207513616
2700,0.6,0.08,0.62,12.02,0.042375332448665454,1.2339121304638132
2800,0.56,0.09,0.63,12.13,0.04116518760915319,1.2202846287955427
2900,0.54,0.09,0.64,11.99,0.0409056792735685,1.194909909860555
3000,0.49,0.11,0.63,11.52,0.040136728885889095,1.1848251769357545
3100,0.53,0.14,0.68,12.26,0.03950877777430748,1.1688017453410007
3200,0.55,0.11,0.63,12.14,0.0394201516744208,1.1553506416871628
3300,0.56,0.07,0.64,12.4,0.03881002711631356,1.1481285583006486
3400,0.54,0.04,0.69,12.43,0.03872044358125449,1.1448619647906408
3500,0.58,0.06,0.7,12.18,0.03798421603061085,1.1299740329397667
3600,0.68,0.05,0.77,12.11,0.03730433834494761,1.1176585230034133
3700,0.64,0.05,0.82,11.79,0.03580520554678851,1.114424728599895
3800,0.7,0.06,0.82,11.95,0.03620776136644152,1.109640021539185
3900,0.53,0.12,0.79,13.06,0.035923890995401775,1.105932770732007
4000,0.57,0.13,0.77,12.93,0.03582391201148756,1.0993267470895425
4100,0.4,0.21,0.8,12.36,0.03584906154066751,1.092918130579072
4200,0.51,0.17,0.77,12.53,0.034809682660052695,1.0924063592923814
4300,0.6,0.13,0.72,12.74,0.03434369245084288,1.0809366788150152
4400,0.58,0.11,0.72,12.82,0.03379103435293476,1.0735759721309692
4500,0.55,0.12,0.73,12.25,0.033985863709608245,1.0657143390261126
4600,0.58,0.04,0.74,11.87,0.03401846124092844,1.0604940812518606
4700,0.57,0.06,0.75,12.01,0.03408509827760022,1.0621125589181566
4800,0.55,0.09,0.83,12.37,0.03336142568416907,1.0555309471658425
4900,0.67,0.11,0.87,12.18,0.03253277485163002,1.053487193672083
5000,0.58,0.16,0.87,12.88,0.033047161157163524,1.0548044516054091
5100,0.41,0.32,0.87,12.7,0.03273489491372782,1.0523604757130864
5200,0.35,0.42,0.82,13.52,0.03266433087118726,1.0479594880619927
5300,0.51,0.26,0.79,13.26,0.033030570821034895,1.0471021065549115
5400,0.53,0.24,0.79,12.58,0.03240189285339459,1.061288776759519
5500,0.46,0.29,0.81,13.38,0.032783697887157535,1.0585089893572532
5600,0.48,0.36,0.8,12.41,0.032083760912341594,1.0684989434936107
5700,0.41,0.26,0.82,12.43,0.03198139032004534,1.0700218081697483
5800,0.34,0.38,0.8,12.21,0.03235192142730869,1.0699036016039982
5900,0.36,0.37,0.79,13.39,0.03260560261057503,1.066277868835511
6000,0.29,0.35,0.76,13.18,0.032027794491140585,1.0655144197452486
6100,0.46,0.33,0.74,13.41,0.03286825885574772,1.064217718306278
6200,0.48,0.3,0.78,13.09,0.03195344550942091,1.0632016595174398
6300,0.46,0.32,0.78,13.25,0.03169146434468922,1.0678338714746476
6400,0.39,0.27,0.75,13.1,0.031999499778781956,1.0654029108863965
6500,0.47,0.27,0.77,12.37,0.03209056100128369,1.0689650244526339
6600,0.45,0.27,0.77,12.83,0.03184664055839915,1.0726621691497442
6700,0.58,0.23,0.71,12.01,0.03224660420264471,1.0676933048345196
6800,0.47,0.31,0.72,12.7,0.031959354659332466,1.0671221342257304
6900,0.35,0.32,0.76,11.97,0.03256537434372958,1.0700466285508596
7000,0.36,0.35,0.78,13.19,0.03268502938636873,1.0736036771152637
7100,0.28,0.41,0.78,13.4,0.032349219175280886,1.0776385877865342
7200,0.31,0.3,0.78,12.1,0.0321968314273185,1.07799813695484
7300,0.28,0.31,0.76,12.84,0.032870817658716626,1.0776124778472747
7400,0.27,0.45,0.74,12.81,0.033445411205791496,1.0812315501574647
7500,0.32,0.37,0.72,12.45,0.03303460692528702,1.0863041950289216
7600,0.35,0.45,0.71,13.31,0.033134917547523464,1.0930413986828504
7700,0.56,0.28,0.7,12.25,0.03305038163390253,1.094706728424163
7800,0.39,0.37,0.71,11.79,0.03394303616081383,1.095346461999752
7900,0.27,0.41,0.73,12.17,0.03334628886285702,1.0917362300299427
8000,0.3,0.45,0.76,12.09,0.03298346025269537,1.0961545069273138
8100,0.27,0.52,0.77,12.64,0.033477317363461025,1.0989501992965207
8200,0.2,0.56,0.76,13.51,0.033528053602555286,1.0999321790436212
8300,0.31,0.46,0.76,13.7,0.033230062547353154,1.1027964393045293
8400,0.21,0.59,0.76,13.76,0.033257151054367926,1.1116309224693224
8500,0.18,0.59,0.8,13.23,0.032490538611674814,1.121488469788093
8600,0.27,0.54,0.79,13.74,0.033515197128237494,1.131456990388785
8700,0.23,0.55,0.8,14.02,0.03348227334266418,1.134310736046944
8800,0.26,0.46,0.77,13.58,0.0329864642265688,1.145255988841158
8900,0.21,0.54,0.74,13.97,0.03349299420745922,1.1512785872437379
9000,0.21,0.51,0.71,14.22,0.033291349113353415,1.157963420033203
9100,0.19,0.55,0.71,13.33,0.03344590595483884,1.1624330023913139
9200,0.17,0.61,0.77,14.3,0.03323128859164031,1.1726792049221704
9300,0.29,0.56,0.8,14.36,0.03292527589323099,1.1869428708303735
9400,0.25,0.58,0.78,14.35,0.032903385244078695,1.2062179289969135
9500,0.2,0.64,0.78,14.55,0.03358525765912064,1.2146297187145887
9600,0.24,0.59,0.79,14.06,0.0330791142106874,1.2233156395303135
9700,0.21,0.6,0.75,13.74,0.03357722937393655,1.2236395652608723
9800,0.29,0.63,0.73,15.6,0.033089577683914156,1.2376863170548018
9900,0.37,0.57,0.77,14.22,0.033353308984976834,1.2499385500897875
10000,0.31,0.51,0.76,12.87,0.033136183838599835,1.2585488195706374
10100,0.32,0.54,0.74,13.5,0.03325662347468279,1.261242388856857
10200,0.32,0.45,0.76,13.7,0.0331112446650845,1.263608340562866
10300,0.21,0.56,0.77,14.99,0.03347707626939363,1.2757747961459247
10400,0.37,0.49,0.75,15.01,0.03346932989199048,1.2842945979453537
10500,0.39,0.42,0.79,14.21,0.033300534747724805,1.2933644527449963
10600,0.44,0.39,0.77,14.67,0.03352519766612765,1.3073903025872553
10700,0.3,0.45,0.78,14.71,0.033879532295603,1.3095370693417585
10800,0.23,0.5,0.78,13.91,0.034276734193108185,1.3119619827906366
10900,0.33,0.46,0.79,14.26,0.034041498171990564,1.316287770171747
11000,0.3,0.49,0.8,15.39,0.03363117422931906,1.3231350043115273
11100,0.34,0.41,0.81,14.81,0.03308246773164234,1.3347844455619298
11200,0.35,0.43,0.88,14.64,0.03341048207500671,1.328939179075046
11300,0.23,0.55,0.9,14.35,0.0326162701744557,1.3360633529864032
11400,0.27,0.54,0.91,14.8,0.033682760942315024,1.3394644754116263
11500,0.14,0.6,0.9,15.01,0.03361243909606042,1.3497123753133164
11600,0.23,0.61,0.89,15.16,0.03422024705977936,1.354050442955583
11700,0.21,0.65,0.86,16.07,0.03296280862160497,1.3616039452086637
11800,0.23,0.66,0.82,15.8,0.032549717794976084,1.3655793754861731
11900,0.12,0.73,0.82,16.1,0.03148512516401327,1.3739138531352972
12000,0.14,0.74,0.82,16.02,0.031817162308521364,1.3856967514664296
12100,0.15,0.72,0.82,15.73,0.03164286049529533,1.4019703604125533
12200,0.08,0.81,0.81,15.93,0.031120662549901455,1.408125488548743
12300,0.13,0.76,0.81,16.32,0.030383522290832146,1.4126966161283712
12400,0.15,0.78,0.84,15.69,0.03005525813264185,1.421942077882462
12500,0.16,0.71,0.84,15.43,0.029635866139899138,1.4282848435530588
12600,0.11,0.81,0.86,16.13,0.02950950521513301,1.4410124648542575
12700,0.11,0.8,0.83,17.05,0.029868252568803388,1.4522649673893295
12800,0.09,0.88,0.82,16.76,0.029254345370391063,1.4546258383101216
12900,0.09,0.82,0.79,16.88,0.028661421468762244,1.464290188244451
13000,0.06,0.84,0.75,16.02,0.028433714376813083,1.4814578618878929
13100,0.11,0.83,0.79,17.23,0.028563150311628847,1.493907082310306
13200,0.1,0.86,0.76,17.63,0.028025835829232692,1.5140929929664357
13300,0.07,0.89,0.77,16.41,0.027579736245186323,1.5306773914793879
13400,0.1,0.88,0.82,16.85,0.0277237972203404,1.542637628527167
13500,0.09,0.86,0.82,17.06,0.02744507921421825,1.554330653821629
13600,0.08,0.88,0.8,16.42,0.02758788814532063,1.5787481824307428
13700,0.07,0.88,0.79,17.0,0.027570963018177738,1.580702758701102
13800,0.09,0.86,0.78,16.94,0.027247071295163044,1.5945896369156893
13900,0.09,0.87,0.76,17.41,0.026963153711414608,1.6123533357769693
14000,0.1,0.85,0.72,16.43,0.026694825862209136,1.6213838552920057
14100,0.07,0.8,0.75,16.18,0.026290558667066324,1.635648017673555
14200,0.06,0.84,0.74,17.27,0.026550416859879383,1.6438481570178387
14300,0.12,0.84,0.77,16.48,0.02617339874397747,1.6542218448228039
14400,0.09,0.87,0.77,17.12,0.026168054632145204,1.6697035749605518
14500,0.09,0.82,0.79,16.21,0.0250084843063124,1.6785869982762593
14600,0.16,0.8,0.81,16.96,0.024875053991850523,1.688210311818831
14700,0.12,0.84,0.83,17.65,0.02468482630249772,1.7006746839594902
14800,0.12,0.84,0.82,18.08,0.024112332935983548,1.714946270360636
14900,0.11,0.88,0.82,17.57,0.024569285541432572,1.7247028180879633
15000,0.1,0.87,0.83,17.02,0.024166822604307824,1.7372894276650603
