Games Played,Win Rate against Models,Draw Rate against Models,Win Rate against Random Moves,Average Game Length,Average Loss,Average Max Q value
100,0.19736842105263158,0.0,0.5833333333333334,9.27,0.0145313265416842,0.09838348106285624
200,0.21,0.0,0.6078431372549019,9.05,0.02998889772866865,0.5729672234605008
300,0.22,0.01,0.5806451612903226,9.35,0.05016295986716201,1.0752506860608944
400,0.25,0.0,0.5769230769230769,9.59,0.0664215946129545,1.5434818442536828
500,0.26,0.0,0.5612244897959183,9.84,0.08436177762761086,1.9475307274278277
600,0.2,0.0,0.5,9.95,0.09775890247495196,2.271497784951334
700,0.3,0.0,0.44,10.36,0.10633005056255561,2.4624282012844416
800,0.36,0.0,0.44,10.97,0.10538006353278591,2.4841079540999704
900,0.38,0.0,0.43,10.89,0.09827432319046675,2.418058729301015
1000,0.33,0.0,0.39,10.66,0.09752126226338438,2.364980577387366
1100,0.33,0.0,0.4,11.49,0.09590628960332075,2.318018363239979
1200,0.26,0.0,0.43,10.95,0.09297361319505044,2.249510284852262
1300,0.36,0.0,0.44,11.96,0.08536525745080326,2.1338842709515706
1400,0.27,0.0,0.47,11.15,0.07688176032400439,2.0017357246380474
1500,0.37,0.0,0.53,11.08,0.07234943023288705,1.898270688324942
1600,0.42,0.0,0.62,11.9,0.06793221628221477,1.7828088582078678
1700,0.39,0.0,0.65,11.63,0.06439156873897661,1.6905443631488137
1800,0.31,0.0,0.67,11.87,0.06005593505869403,1.6031488793425115
1900,0.48,0.0,0.62,12.05,0.0557070443675721,1.5296107538986257
2000,0.49,0.0,0.63,12.72,0.052467472436707324,1.4673771465579721
2100,0.56,0.01,0.6,12.52,0.04951437278686753,1.4036993359329557
2200,0.48,0.0,0.59,12.53,0.047479786986996154,1.3602739482414647
2300,0.58,0.01,0.6,12.21,0.04570563265072404,1.310795206874619
2400,0.57,0.01,0.66,12.17,0.04320172265580128,1.282569093995891
2500,0.56,0.0,0.69,12.08,0.04204307731319432,1.2449235941044707
2600,0.59,0.0,0.69,11.89,0.040471120390478135,1.2051097127826738
2700,0.66,0.0,0.73,11.91,0.03963900890174122,1.1750650688269852
