Games Played,Win Rate against Models,Draw Rate against Models,Win Rate against Random Moves,Average Game Length,Average Loss,Average Max Q value
100,0,0,0.59,12.68,0.007482209859000074,0.2582518134580943
200,0,0,0.52,12.83,0.01714286833465066,0.8639225322563095
300,0,0,0.59,13.4,0.02349263525691609,1.247363741922797
400,0,0,0.55,12.74,0.02474380476587098,1.3504783496821446
500,0,0,0.42,12.87,0.026801274585023592,1.3566297600633164
600,0,0,0.46,13.39,0.027025103435435283,1.3606337895515057
700,0,0,0.49,12.19,0.026512592631996377,1.3604682778513812
800,0,0,0.42,12.98,0.02622154403713672,1.3381304856810454
900,0,0,0.47,12.85,0.025205057285490003,1.3171259181433985
1000,0,0,0.48,13.79,0.024217188513661603,1.2978873718766348
1100,0,0,0.49,12.86,0.02446255622606121,1.2851830854670956
1200,0,0,0.51,12.5,0.02342250581432721,1.2738077543223942
1300,0,0,0.44,13.05,0.022824794792785052,1.2614563642707715
1400,0,0,0.49,12.39,0.021920604521602514,1.2494282248489759
1500,0,0,0.65,12.47,0.022032839811596136,1.240183620079591
1600,0,0,0.61,12.85,0.020969719330102898,1.2401570163657114
1700,0,0,0.47,12.69,0.020907623523135622,1.2394706923473964
1800,0,0,0.53,13.15,0.020680666873760706,1.2354897300749388
1900,0,0,0.6,12.37,0.020024070761775137,1.2329041447135374
2000,0,0,0.51,13.62,0.020053761002853263,1.2290140567647123
2100,0,0,0.52,13.22,0.0199689831682782,1.2250389607231762
2200,0,0,0.55,12.76,0.019776818208161854,1.2174107074890257
2300,0,0,0.53,13.26,0.01979172632221116,1.2122433409305442
2400,0,0,0.54,12.86,0.0196958529485335,1.2083537252961685
2500,0,0,0.5,12.85,0.019671162235352452,1.2154965917334095
2600,0,0,0.57,13.58,0.0193335523738006,1.2126956267225752
2700,0,0,0.61,13.59,0.01917804775644193,1.2092570120567938
2800,0,0,0.51,13.13,0.01884045642632184,1.2062292514496535
2900,0,0,0.56,13.23,0.01865601712083192,1.2026981286568443
3000,0,0,0.53,13.28,0.018447746041487356,1.1950029129753015
3100,0,0,0.52,12.43,0.018516808884345416,1.1896610586629481
3200,0,0,0.55,13.42,0.01796998589855782,1.1909116069079209
3300,0,0,0.51,13.25,0.018284755331008123,1.1948753894886937
3400,0,0,0.51,12.69,0.018226449092677687,1.200840216831359
3500,0,0,0.43,13.01,0.01840817013996709,1.195972409768231
3600,0,0,0.48,12.3,0.018384752224909245,1.199442339188128
3700,0,0,0.46,13.32,0.018236102433043452,1.1978144910774144
3800,0,0,0.51,13.11,0.018188866148298535,1.1900277437627633
3900,0,0,0.51,12.71,0.017918474548132727,1.1959764560388109
4000,0,0,0.5,13.18,0.01786493317880976,1.195740693795555
4100,0,0,0.57,12.19,0.01781625993923837,1.1854750117976538
4200,0,0,0.56,12.43,0.01751816769963448,1.1859531656842979
4300,0,0,0.44,11.77,0.01718720356064345,1.1863581410862776
4400,0,0,0.5,12.55,0.017381684722116306,1.1885989212530996
4500,0,0,0.45,12.86,0.017616436204713003,1.1891867300287802
4600,0,0,0.52,13.96,0.017335869506960425,1.1813907084148836
4700,0,0,0.55,12.34,0.016995463593156013,1.180657143481608
4800,0,0,0.58,12.44,0.016797688614737447,1.1818655278448105
4900,0,0,0.56,12.49,0.017065078250091643,1.181914672040598
5000,0,0,0.52,13.28,0.017082505925520457,1.1874499102241787
5100,0,0,0.52,12.95,0.016778537959774565,1.1911754336864655
5200,0,0,0.56,13.11,0.016681940044659754,1.188927753381344
5300,0,0,0.59,13.46,0.01701629971283028,1.1917823547343964
5400,0,0,0.43,13.42,0.01646992692407161,1.1855005765093645
5500,0,0,0.56,12.78,0.01660857972269055,1.1834321791756168
5600,0,0,0.56,13.77,0.016148695871742266,1.1741387363007463
5700,0,0,0.53,13.27,0.016086965854564383,1.167416159934082
5800,0,0,0.53,12.68,0.015930744326485363,1.161862177972671
5900,0,0,0.53,13.52,0.015475858125119313,1.1578831367697964
6000,0,0,0.57,13.51,0.015576826014169492,1.1493773360895236
6100,0,0,0.53,13.25,0.015379570085088414,1.1498574969130366
6200,0,0,0.47,13.4,0.015038254147435011,1.1467851098825639
6300,0,0,0.52,13.03,0.015197289351603029,1.1475001853786428
6400,0,0,0.56,12.52,0.015229529410655996,1.1424390058308085
6500,0,0,0.43,12.72,0.015264786226887643,1.1426568961229442
6600,0,0,0.61,12.76,0.01513948003199404,1.1487766382951208
6700,0,0,0.54,13.77,0.01491983662546991,1.1409771573501453
6800,0,0,0.49,12.69,0.014800598111970398,1.1286076757082
6900,0,0,0.64,12.86,0.015084233878181743,1.128111230942587
7000,0,0,0.49,13.31,0.014861434355601316,1.1240311247945822
7100,0,0,0.57,13.59,0.01425907901727545,1.1164740668819078
7200,0,0,0.52,13.41,0.0147093235976462,1.1174235229533116
7300,0,0,0.4,13.44,0.014327175446190266,1.1135470619673042
7400,0,0,0.51,13.13,0.014623921838962496,1.1085583258506373
7500,0,0,0.59,13.01,0.014392760076743678,1.1058565903355349
7600,0,0,0.57,12.95,0.014320002779900256,1.100741684484984
7700,0,0,0.53,13.6,0.014142353899412019,1.0995061302891964
7800,0,0,0.62,13.33,0.014264649748850538,1.0963201155413174
7900,0,0,0.5,13.12,0.014054170735519178,1.0968978282834285
8000,0,0,0.58,13.21,0.014223472090532152,1.0956970800916508
8100,0,0,0.57,13.17,0.014005766561015723,1.0919131377384879
