Games Played,Win Rate against Models,Draw Rate against Models,Win Rate against Random Moves,Average Game Length,Average Loss,Average Max Q value
3500,0,0,0.65,10.91,0.02269993019740038,0.9362346566740202
3600,0.26666666666666666,0.5777777777777777,0.7,10.05,0.0221086687025481,0.9275523661021565
3700,0.26,0.59,0.7,10.76,0.02190190629054821,0.9240266813023904
3800,0.23,0.63,0.7,11.06,0.02149048496696516,0.9212954959275531
3900,0.25,0.64,0.7,11.23,0.02132595550253741,0.9169594159219692
4000,0.22,0.59,0.7,10.98,0.021186103625052646,0.9089134953741465
4100,0.19,0.7,0.7,10.39,0.021075006056082972,0.90355966073789
4200,0.25,0.62,0.7,10.7,0.021050931898931164,0.8956890789536281
4300,0.17,0.67,0.7,10.47,0.02118287725229857,0.8879615672682442
4400,0.19,0.69,0.7,10.02,0.02106112105719867,0.8859451879561082
4500,0.19,0.7,0.7,10.83,0.020645599353978587,0.8883848959244212
4600,0.2,0.7,0.7,11.09,0.020265345284751227,0.8880420413577462
4700,0.26,0.59,0.7,10.26,0.019923362611199535,0.8902808589508469
4800,0.28,0.59,0.7,10.66,0.020474573211128687,0.8855630532460517
4900,0.22,0.64,0.7,10.81,0.020216580934784716,0.8844695451594708
5000,0.15,0.8,0.7,11.25,0.019836911526093355,0.8880418720232979
5100,0.11,0.81,0.7,11.27,0.020310838230196734,0.8796901180242567
5200,0.16,0.69,0.7,10.33,0.020073330113097157,0.8762114183783187
5300,0.25,0.68,0.7,10.46,0.019727709790580562,0.8754467977294209
5400,0.15,0.77,0.7,10.49,0.02010869285916173,0.8730957400712837
5500,0.19,0.68,0.7,9.91,0.019817524626895268,0.8730497691353194
5600,0.15,0.75,0.7,10.15,0.01998449281134463,0.8684223675944119
5700,0.13,0.84,0.7,11.14,0.019738379700982422,0.8635488737562185
5800,0.13,0.78,0.7,9.72,0.020082521883843817,0.8584154348193725
5900,0.14,0.82,0.7,9.45,0.020171474927985194,0.8582180132696606
6000,0.15,0.84,0.7,11.02,0.020214670202560455,0.857879316925434
6100,0.17,0.72,0.7,10.36,0.020298400774997373,0.8578205372279831
6200,0.11,0.77,0.7,10.04,0.020017410932494446,0.8576244176695621
6300,0.35,0.54,0.7,9.17,0.020001125488705855,0.8547936784527306
6400,0.23,0.62,0.7,10.74,0.02001742799064581,0.8529761514556156
6500,0.16,0.77,0.7,10.73,0.0198711098946972,0.853604973288093
6600,0.02,0.95,0.7,10.29,0.019724231730733274,0.8582007272558887
6700,0.05,0.91,0.7,10.52,0.020110017250321223,0.8589060759949164
6800,0.07,0.9,0.7,10.66,0.02009580279275907,0.8582804514831124
6900,0.09,0.88,0.7,10.98,0.019832790816567317,0.8551697963829387
7000,0.18,0.76,0.7,10.59,0.020527138259821318,0.8515933508422978
7100,0.08,0.86,0.7,10.81,0.020559960152353552,0.8462217290060713
7200,0.09,0.85,0.7,10.15,0.02030559485395326,0.8466768162072066
7300,0.1,0.86,0.7,10.06,0.020466193663341653,0.8427518634417346
7400,0.09,0.83,0.7,10.63,0.0199853703079729,0.8470478792703604
7500,0.02,0.93,0.7,10.97,0.019717215086037135,0.8475641715052329
7600,0.12,0.71,0.7,11.18,0.019936566244320938,0.8516287829722178
7700,0.26,0.66,0.7,10.63,0.01988577640435558,0.8515082444820077
7800,0.12,0.79,0.7,10.43,0.020267924077194178,0.850237833187036
7900,0.12,0.82,0.7,10.82,0.019959885278540115,0.854376913443811
8000,0.03,0.93,0.7,10.99,0.020353351689183775,0.8527043171055017
8100,0.03,0.94,0.7,11.2,0.020317275360967283,0.8495141190321656
8200,0.08,0.9,0.7,10.82,0.019804596352716263,0.8515035846718391
8300,0.09,0.88,0.7,9.99,0.01961693547176986,0.851127752623178
8400,0.13,0.8,0.7,10.35,0.0198965880833591,0.8501527138087985
8500,0.12,0.8,0.7,10.54,0.020026987304124427,0.8521054139914355
8600,0.06,0.91,0.7,11.05,0.019781623135083738,0.8500370516787642
8700,0.1,0.82,0.7,10.96,0.019774797295374406,0.8529699379409966
8800,0.03,0.93,0.7,11.27,0.02019144577846078,0.8509097795761691
8900,0.05,0.92,0.7,11.44,0.020243478958623235,0.8531425202785194
9000,0.11,0.85,0.7,11.38,0.019820809651765185,0.8548808158650547
9100,0.09,0.88,0.7,10.65,0.020003559608984433,0.8517563460513506
9200,0.01,0.97,0.7,10.62,0.01961784605539565,0.8525586986905411
9300,0.03,0.91,0.7,11.37,0.019534542356114088,0.8523433718712967
9400,0.04,0.95,0.7,12.15,0.019703674262561487,0.8495905973994974
9500,0.03,0.94,0.7,11.68,0.019604325507387534,0.8545041573014583
9600,0.03,0.92,0.7,10.55,0.01953975555166432,0.8568836027199651
9700,0.0,0.96,0.7,10.05,0.019703175362396356,0.8527767426619915
9800,0.03,0.9,0.7,11.49,0.01997561528151969,0.8507929943953277
9900,0.04,0.92,0.7,12.07,0.019577793894293174,0.8501934776049397
10000,0.03,0.94,0.7,11.54,0.01943291872016186,0.8544062368312533
10100,0.06,0.86,0.7,11.88,0.019618993676638885,0.8541623128235066
10200,0.08,0.85,0.7,11.14,0.019651359866008772,0.8529104684041556
10300,0.11,0.8,0.7,11.44,0.019804639617866073,0.8550701000390738
10400,0.03,0.95,0.7,10.97,0.01950605003503423,0.8531071231271086
10500,0.05,0.89,0.7,11.9,0.01948955361858416,0.8588500426174411
10600,0.02,0.95,0.7,11.38,0.01940214369463683,0.8671172281332871
10700,0.07,0.93,0.7,12.07,0.019564334183808527,0.8659607902756402
10800,0.03,0.94,0.7,11.53,0.019434951944322012,0.8687393323810624
10900,0.0,0.99,0.7,12.12,0.019963823992208668,0.8687981448749212
11000,0.02,0.98,0.7,12.26,0.01899440184853823,0.8776545494963132
11100,0.01,0.98,0.7,13.36,0.01911519772167844,0.8823605555628206
11200,0.0,1.0,0.7,12.87,0.01905415215541758,0.8781001188834395
11300,0.0,0.99,0.7,11.14,0.01913685795655255,0.8803549294136129
11400,0.0,1.0,0.7,12.19,0.01942633757763595,0.8805567845717372
11500,0.01,0.98,0.7,11.59,0.019060741227280863,0.8870300394596984
11600,0.0,0.99,0.7,12.26,0.019340665677668532,0.8884457564502222
11700,0.02,0.97,0.7,12.05,0.018900502643799222,0.8974787173713044
11800,0.01,0.99,0.7,11.7,0.019333608261554554,0.9029731456695106
11900,0.0,1.0,0.7,12.41,0.01962938764788498,0.9044472320836481
12000,0.01,0.99,0.7,12.52,0.019126317022524122,0.9037151573458678
12100,0.01,0.97,0.7,12.32,0.019166285919952647,0.907136405917391
12200,0.0,1.0,0.7,10.13,0.019111089308739403,0.9055629666593863
12300,0.01,0.99,0.7,11.48,0.018919429672753358,0.9055485721826362
12400,0.0,0.97,0.7,12.19,0.018966924886126568,0.905703490875069
12500,0.0,1.0,0.7,12.18,0.019054233869582052,0.9094638709337438
12600,0.0,1.0,0.7,11.52,0.01858674654029139,0.9089691160072877
