Games Played,Win Rate against Models,Draw Rate against Models,Win Rate against Random Moves,Average Game Length,Average Loss,Average Max Q value
100,0.16455696202531644,0.0,0.47619047619047616,9.32,0.014994649291789697,0.06609399416977987
200,0.14,0.0,0.4857142857142857,9.51,0.03170010219889999,0.5481249679379581
300,0.14,0.0,0.5,9.39,0.04950978543059138,1.0231601058813178
400,0.19,0.0,0.5443037974683544,10.11,0.060902818614062305,1.405758217242694
500,0.18,0.0,0.5306122448979592,10.09,0.07038548410979777,1.7280941570065604
600,0.27,0.0,0.52,10.24,0.07512374372734132,1.9294719162862826
700,0.22,0.0,0.51,10.44,0.07844693150046375,2.025618273311241
800,0.27,0.0,0.54,10.68,0.07460572387100196,2.0232935251209714
900,0.34,0.0,0.53,10.55,0.07189484501461005,1.952897968020267
1000,0.32,0.01,0.56,10.94,0.06709258936853037,1.851439019321124
1100,0.43,0.01,0.53,11.18,0.06120903269730078,1.745098369787791
1200,0.49,0.0,0.55,11.92,0.057852112512610764,1.6697990330865295
1300,0.38,0.02,0.55,10.81,0.057148956292034966,1.6225152454109923
1400,0.37,0.01,0.6,10.85,0.05416844258006208,1.5703582318331895
1500,0.42,0.0,0.61,11.55,0.05198734123396527,1.5213037717402864
1600,0.47,0.01,0.69,11.92,0.05002983652694888,1.4719864625018317
1700,0.48,0.0,0.71,11.21,0.047144106443717554,1.4324523017261743
1800,0.48,0.0,0.7,11.14,0.04575368837483493,1.3927320048992724
1900,0.51,0.01,0.67,11.56,0.044799555326331245,1.3609130851428708
2000,0.5,0.01,0.69,12.3,0.042569111006113027,1.3307489505453725
2100,0.65,0.0,0.68,11.66,0.041387002854144,1.3039043090677436
2200,0.53,0.0,0.66,11.07,0.03920139487652955,1.2737707876089641
2300,0.57,0.0,0.68,11.07,0.0399328595173442,1.2528363555078126
2400,0.59,0.0,0.7,11.97,0.03886137450720129,1.2394655427466876
2500,0.55,0.0,0.67,11.98,0.03895922962747835,1.21934078429543
2600,0.59,0.0,0.64,11.8,0.038763283149686335,1.2088050826263896
2700,0.51,0.01,0.63,12.31,0.036610610263407624,1.1901807286864736
2800,0.47,0.03,0.64,12.58,0.0361501848681073,1.176011276453026
2900,0.51,0.01,0.65,11.88,0.03623907841286344,1.1598130206783575
3000,0.62,0.0,0.67,12.51,0.03511098656613685,1.141105031972103
3100,0.64,0.0,0.72,11.85,0.034106689874304284,1.1372452497494472
3200,0.65,0.01,0.72,11.98,0.03441294767469393,1.1284611049153102
3300,0.63,0.0,0.79,12.09,0.03378638372210354,1.1196454968226626
3400,0.66,0.01,0.8,11.89,0.033631153457493144,1.107775919297963
3500,0.55,0.0,0.8,11.87,0.03257720194557582,1.1049056390700462
3600,0.52,0.0,0.78,12.15,0.03297958386537454,1.0969794325711397
3700,0.55,0.0,0.78,12.25,0.03181493633848888,1.0720985815590232
3800,0.6,0.0,0.74,12.2,0.03176474660227628,1.0604959499304387
3900,0.64,0.02,0.74,12.73,0.03148948742273999,1.0516537520002986
4000,0.61,0.01,0.73,12.15,0.03087447141657347,1.0492030601662043
4100,0.58,0.0,0.76,12.01,0.031038872038781626,1.0456589013519642
4200,0.66,0.0,0.77,12.19,0.03060505566520999,1.041630268106018
4300,0.69,0.0,0.78,11.63,0.02990791152983211,1.035916448817723
4400,0.55,0.0,0.77,11.97,0.030749503634714376,1.0209802169068463
4500,0.53,0.0,0.77,11.61,0.030580610182980597,1.0161529457322946
4600,0.56,0.0,0.71,11.66,0.03030669431388654,1.0138159078655924
4700,0.59,0.0,0.72,11.67,0.031148370269998983,1.0105932640614326
4800,0.61,0.0,0.75,11.85,0.03092741179467811,1.005352234623921
4900,0.59,0.0,0.78,11.74,0.030568764760888715,1.006562453094178
5000,0.61,0.01,0.83,11.89,0.03010396887966573,1.0051864109680895
5100,0.68,0.01,0.87,11.24,0.03002003179374491,1.006585920278769
5200,0.61,0.0,0.86,11.84,0.030151781891613563,1.004286423558943
5300,0.51,0.0,0.83,12.17,0.030015503713182925,1.0052179912853527
5400,0.57,0.01,0.83,12.52,0.029610748663364973,1.000146697102106
5500,0.66,0.0,0.81,11.86,0.029776166392608213,0.9999637841796414
5600,0.49,0.0,0.82,12.3,0.029822560442773326,0.9920748671430077
5700,0.49,0.0,0.83,12.52,0.029619250483533012,0.98565190401173
5800,0.49,0.01,0.84,12.44,0.030124487635480274,0.9898318078816708
5900,0.54,0.01,0.85,12.59,0.02968975748536754,0.9835520435300823
6000,0.62,0.01,0.81,12.29,0.029578268411585344,0.9794038214597489
6100,0.62,0.0,0.82,11.65,0.029420595582429487,0.97533068370876
6200,0.64,0.0,0.8,11.75,0.029935732987907953,0.9718202342407758
6300,0.62,0.0,0.82,11.94,0.029931349158716994,0.9718342712903062
6400,0.6,0.0,0.8,12.26,0.030124336893677058,0.9729505207983284
6500,0.61,0.0,0.79,12.47,0.030216690697949414,0.972506022693105
6600,0.52,0.0,0.83,12.11,0.03019489195256333,0.9703692566961871
6700,0.58,0.0,0.78,12.45,0.02994782321336377,0.9640794516886642
6800,0.66,0.0,0.78,12.01,0.02965701351563667,0.9621434382109103
6900,0.62,0.01,0.8,12.33,0.02974234260355548,0.9547183848078717
