Games Played,Win Rate against Models,Draw Rate against Models,Win Rate against Random Moves,Average Game Length,Average Loss,Average Max Q value
100,0.23684210526315788,0.0,0.5,9.81,0.014437620564228511,0.11042665160372316
200,0.2,0.0,0.4339622641509434,10.13,0.041242798531297024,0.7921259132009062
300,0.14,0.0,0.4722222222222222,9.8,0.08103434851776235,1.6169105550475822
400,0.08,0.0,0.4588235294117647,10.48,0.12358906853576643,2.318828463405773
500,0.2,0.0,0.43,10.21,0.14347226127534474,2.844018054893326
600,0.17,0.0,0.46,10.33,0.15307156979183184,3.0993609789781584
700,0.16,0.0,0.47,10.77,0.15300506028420768,3.1770934949060177
800,0.27,0.0,0.46,11.12,0.14855299556990118,3.1234026378830095
900,0.23,0.0,0.51,11.2,0.14162505029533146,3.0340728850872374
1000,0.25,0.01,0.53,11.07,0.12559182929990464,2.8707455476340464
1100,0.3,0.0,0.56,11.21,0.11261398287358455,2.6535108913127656
1200,0.45,0.0,0.59,11.16,0.09810195999105596,2.448833829585415
1300,0.38,0.0,0.59,12.26,0.08981860564497414,2.2876755134037636
1400,0.4,0.0,0.61,11.28,0.0821465383405558,2.1611792981988907
1500,0.36,0.01,0.59,11.75,0.07810829604982607,2.045940885676664
1600,0.34,0.0,0.59,11.73,0.07440328523880116,1.9253309504920646
1700,0.39,0.0,0.57,11.65,0.0713130397270723,1.8118420484353022
1800,0.48,0.01,0.61,11.86,0.06606796502108579,1.7159750513643177
1900,0.46,0.01,0.63,12.0,0.06169391864936426,1.6219219200810082
2000,0.55,0.0,0.66,12.09,0.05761084737390748,1.544292967506889
2100,0.56,0.0,0.67,11.82,0.054659687211135594,1.4690228795026812
2200,0.54,0.0,0.7,11.72,0.05123668358979385,1.401491101283288
2300,0.41,0.01,0.64,11.94,0.04952108666583027,1.36141478183512
2400,0.44,0.0,0.61,11.93,0.047669949249824685,1.3138705724694881
2500,0.47,0.0,0.59,11.62,0.04636349434806668,1.2765049217781514
2600,0.4,0.0,0.58,12.2,0.04508137639895802,1.2481187340158215
2700,0.5,0.01,0.59,12.86,0.04246232478648068,1.2127521811916886
2800,0.58,0.0,0.6,12.25,0.04148449252770163,1.175466144227518
2900,0.47,0.01,0.61,12.37,0.041322906228794504,1.138557127485405
